index	scenario_id	compound_id	compound_name	smiles	canonicalize_smiles	halflife	halflife_unit	halflife_model	halflife_comment	rateconstant	rateconstant_unit	rateconstant_comment	reaction_order	acidity	acidity_unit	temperature	temperature_unit	original_sludge_amount	original_sludge_amount_unit	sludge_retention_time	sludge_retention_time_unit	sludge_retention_time_type	total_suspended_solids_concentration_start	total_suspended_solids_concentration_end	total_suspended_solids_concentration_unit	addition_of_nutrients	biological_treatment_technology	bioreactor_type	bioreactor_value	bioreactor_value_unit	nitrogen_content_type	nitrogen_content_influent	oxygen_demand_type	oxygen_demand_value	oxygen_uptake_rate	oxygen_uptake_rate_unit	phosphorus_content	redox	source_of_liquid_matrix	type_of_addition	type_of_aeration	inoculum_source	location	purpose_of_wwtp
42	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/b3dbe9dd-e02e-448c-a070-5c7cff8c9a7e	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/615db7eb-4d29-4b0b-b967-b33e8ade297d/structure/8ac3cd2a-b793-4517-848a-4a5abfdb8d11	Dimethyl phthalate	COC(=O)C1=C(C=CC=C1)C(=O)OC	COC(=O)c1ccccc1C(=O)OC					6.3	1 / day	no comment	First order	7.5	pH	20.0	℃	28.8	mL				0.95	0.95	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
43	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/3f550180-ce60-4e12-85ad-3ebde21bd965	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/3999b161-0bf0-47e3-892c-e27d927b7a8c/structure/4c38a8ad-e782-4ab0-a666-883968d76b9b	Dimethyl-1,4-cyclohexanedicarboxylate	COC(=O)C1CCC(CC1)C(=O)OC	COC(=O)C1CCC(C(=O)OC)CC1					30.0	1 / day	>	First order	7.5	pH	20.0	℃	28.8	mL				1.02	1.02	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
44	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/4c1e49ff-0a4d-40f8-bb27-a722e6d40ee9	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/3999b161-0bf0-47e3-892c-e27d927b7a8c/structure/4c38a8ad-e782-4ab0-a666-883968d76b9b	Dimethyl-1,4-cyclohexanedicarboxylate	COC(=O)C1CCC(CC1)C(=O)OC	COC(=O)C1CCC(C(=O)OC)CC1					30.0	1 / day	>	First order	7.5	pH	20.0	℃	28.8	mL				0.95	0.95	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
45	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/c9121741-f011-4e54-81f0-778d30a68d07	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/3999b161-0bf0-47e3-892c-e27d927b7a8c/structure/4c38a8ad-e782-4ab0-a666-883968d76b9b	Dimethyl-1,4-cyclohexanedicarboxylate	COC(=O)C1CCC(CC1)C(=O)OC	COC(=O)C1CCC(C(=O)OC)CC1					30.0	1 / day	>	First order	7.3	pH	20.0	℃	28.8	mL				3.49	3.49	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
46	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/7ee91b1e-d3b7-4de2-bdbb-f6860e1ff1ae	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/2b2720af-40e2-458f-aaf0-b24b772fb135/structure/b85f737e-1825-4274-906a-e31773922159	Ethofumesate	CCOC1C(C)(C)C2=CC(=CC=C2O1)OS(=O)(=O)C	CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C					0.11000000000000001	1 / day	no comment	First order	7.5	pH	20.0	℃	28.8	mL				1.02	1.02	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
47	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/a9987348-104e-4121-bc37-b4777cb38ce0	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/2b2720af-40e2-458f-aaf0-b24b772fb135/structure/b85f737e-1825-4274-906a-e31773922159	Ethofumesate	CCOC1C(C)(C)C2=CC(=CC=C2O1)OS(=O)(=O)C	CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C					0.37	1 / day	no comment	First order	7.3	pH	20.0	℃	28.8	mL				3.49	3.49	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
48	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/b5585f6a-10d1-4289-a805-1a4326ed5e45	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/2b2720af-40e2-458f-aaf0-b24b772fb135/structure/b85f737e-1825-4274-906a-e31773922159	Ethofumesate	CCOC1C(C)(C)C2=CC(=CC=C2O1)OS(=O)(=O)C	CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C					0.1045	1 / day	no comment	First order	7.5	pH	20.0	℃	28.8	mL				0.95	0.95	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
49	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/7e49b007-c420-4c2f-a952-a11168c662b3	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/ab01d061-ac35-4cf0-a47f-3423995652fc/structure/1bfa9143-a57d-4d25-ae3a-30d7ccd1f469	Gabapentin lactam	C1CCC2(CC1)CC(=O)NC2	O=C1CC2(CCCCC2)CN1					5.9	1 / day	no comment	First order	7.5	pH	20.0	℃	28.8	mL				0.95	0.95	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
50	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/30447c05-95ab-4e1a-b8d1-0f2636103fd0	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/ab01d061-ac35-4cf0-a47f-3423995652fc/structure/1bfa9143-a57d-4d25-ae3a-30d7ccd1f469	Gabapentin lactam	C1CCC2(CC1)CC(=O)NC2	O=C1CC2(CCCCC2)CN1					4.1	1 / day	no comment	First order	7.3	pH	20.0	℃	28.8	mL				3.49	3.49	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
51	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/12564fba-860f-4f3a-a553-9c48d445c042	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/ab01d061-ac35-4cf0-a47f-3423995652fc/structure/1bfa9143-a57d-4d25-ae3a-30d7ccd1f469	Gabapentin lactam	C1CCC2(CC1)CC(=O)NC2	O=C1CC2(CCCCC2)CN1					9.2	1 / day	no comment	First order	7.5	pH	20.0	℃	28.8	mL				1.02	1.02	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
